dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Reviews,Large p_pass,SmartRoute/UNG,132.7624,OK (Recall>=0.9),3425.3848,0.9140,145.9690,25.8009,0.9160,19379.2000
Reviews,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",8463.4590,0.9569,118.1550,,,
Reviews,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",8463.4590,0.9569,118.1550,,,
Reviews,Threads=10,SmartRoute/ACORN-gamma-improved,29.7623,OK (Recall>=0.9),8463.4590,0.9569,118.1550,284.3688,0.9023,3516.5600
Reviews,Threads=10,SmartRoute/UNG,149.4579,OK (Recall>=0.9),8463.4590,0.9569,118.1550,56.6277,0.9579,17659.2000
Genome,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",972.0535,0.9247,1028.7500,,,
Genome,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",972.0535,0.9247,1028.7500,,,
Genome,Mixed,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",972.0535,0.9247,1028.7500,,,
Genome,Mixed,SmartRoute/UNG,4.5723,OK (Recall>=0.9),972.0535,0.9247,1028.7500,212.5941,0.9031,4703.8000
Genome,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",674.4453,0.9162,741.3500,,,
Genome,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",674.4453,0.9162,741.3500,,,
Genome,Small Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",674.4453,0.9162,741.3500,,,
Genome,Small Length,SmartRoute/UNG,6.4430,OK (Recall>=0.9),674.4453,0.9162,741.3500,104.6794,0.9014,4776.4900
Genome,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",948.7450,0.9332,527.0120,,,
Genome,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",948.7450,0.9332,527.0120,,,
Genome,Large Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",948.7450,0.9332,527.0120,,,
Genome,Large Length,SmartRoute/UNG,1.5001,OK (Recall>=0.9),948.7450,0.9332,527.0120,632.4335,0.9326,790.5970
Genome,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1304.1584,0.9748,383.3890,,,
Genome,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1304.1584,0.9748,383.3890,,,
Genome,Small p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1304.1584,0.9748,383.3890,,,
Genome,Small p_pass,SmartRoute/UNG,1.6098,OK (Recall>=0.9),1304.1584,0.9748,383.3890,810.1141,0.9748,617.1970
